區域別,月份,選擇,性別,總計,分母,百分比,0至4歲,5至9歲,10至14歲,15至19歲,20至24歲,25至29歲,30至34歲,35至39歲,40至44歲,45至49歲,50至54歲,55至59歲,60至64歲,65至69歲,70至74歲,75至79歲,80至84歲,85至89歲,90至94歲,95至99歲,100歲以上
南區,9,計,女,63229,124807,50.66%,2130,1969,1974,2795,3552,4157,4644,5371,4969,4459,4927,5440,5248,4394,2602,2098,1413,701,312,66,8
南區,9,計,男,61578,124807,49.34%,2280,2065,2066,2846,3743,4529,4791,5778,5168,4462,4617,4880,4810,3942,2130,1649,1009,523,225,60,5
南區,9,計,計,124807,124807,100.00%,4410,4034,4040,5641,7295,8686,9435,11149,10137,8921,9544,10320,10058,8336,4732,3747,2422,1224,537,126,13
後壁區,9,計,女,11092,23071,48.08%,273,269,300,578,645,653,630,718,688,696,814,924,828,740,551,615,563,420,148,31,8
後壁區,9,計,男,11979,23071,51.92%,314,275,343,596,654,733,721,765,805,728,1006,1187,1071,897,591,500,428,279,80,6,0
後壁區,9,計,計,23071,23071,100.00%,587,544,643,1174,1299,1386,1351,1483,1493,1424,1820,2111,1899,1637,1142,1115,991,699,228,37,8
柳營區,9,計,女,10107,21112,47.87%,327,260,232,519,641,739,657,708,687,667,761,826,748,677,473,452,371,249,91,20,2
柳營區,9,計,男,11005,21112,52.13%,352,270,283,515,721,810,771,835,751,723,903,1065,936,736,430,393,293,162,50,5,1
柳營區,9,計,計,21112,21112,100.00%,679,530,515,1034,1362,1549,1428,1543,1438,1390,1664,1891,1684,1413,903,845,664,411,141,25,3
將軍區,9,計,女,9555,19463,49.09%,224,223,202,380,505,563,555,719,800,694,810,835,764,620,374,440,393,281,131,31,11
